#    L    TT             EE             TE             PP             TP          
   129    0.35879E+04    0.10261E+01   -0.39104E+02    0.35600E+07    0.46940E+04
   130    0.36217E+04    0.10306E+01   -0.39528E+02    0.35374E+07    0.46451E+04
   131    0.36555E+04    0.10347E+01   -0.39938E+02    0.35150E+07    0.45970E+04
   132    0.36894E+04    0.10384E+01   -0.40332E+02    0.34928E+07    0.45499E+04
   133    0.37231E+04    0.10416E+01   -0.40711E+02    0.34708E+07    0.45036E+04
   134    0.37569E+04    0.10444E+01   -0.41072E+02    0.34489E+07    0.44581E+04
   135    0.37906E+04    0.10467E+01   -0.41417E+02    0.34272E+07    0.44134E+04
   136    0.38242E+04    0.10485E+01   -0.41743E+02    0.34057E+07    0.43694E+04
   137    0.38578E+04    0.10498E+01   -0.42051E+02    0.33844E+07    0.43262E+04
   138    0.38912E+04    0.10507E+01   -0.42341E+02    0.33632E+07    0.42837E+04
   139    0.39245E+04    0.10512E+01   -0.42612E+02    0.33422E+07    0.42419E+04
   140    0.39578E+04    0.10511E+01   -0.42865E+02    0.33214E+07    0.42007E+04
   141    0.39909E+04    0.10505E+01   -0.43096E+02    0.33008E+07    0.41602E+04
   142    0.40239E+04    0.10495E+01   -0.43308E+02    0.32803E+07    0.41202E+04
   143    0.40569E+04    0.10481E+01   -0.43500E+02    0.32600E+07    0.40808E+04
   144    0.40897E+04    0.10462E+01   -0.43671E+02    0.32399E+07    0.40420E+04
   145    0.41223E+04    0.10439E+01   -0.43821E+02    0.32199E+07    0.40037E+04
   146    0.41550E+04    0.10410E+01   -0.43950E+02    0.32002E+07    0.39658E+04
   147    0.41873E+04    0.10378E+01   -0.44056E+02    0.31805E+07    0.39284E+04
   148    0.42195E+04    0.10341E+01   -0.44141E+02    0.31611E+07    0.38915E+04
   149    0.42516E+04    0.10300E+01   -0.44204E+02    0.31418E+07    0.38550E+04
   150    0.42834E+04    0.10255E+01   -0.44241E+02    0.31226E+07    0.38188E+04
   151    0.43150E+04    0.10206E+01   -0.44257E+02    0.31036E+07    0.37830E+04
   152    0.43464E+04    0.10152E+01   -0.44250E+02    0.30848E+07    0.37475E+04
   153    0.43776E+04    0.10095E+01   -0.44217E+02    0.30662E+07    0.37124E+04
   154    0.44086E+04    0.10034E+01   -0.44160E+02    0.30477E+07    0.36776E+04
   155    0.44394E+04    0.99691E+00   -0.44080E+02    0.30293E+07    0.36432E+04
   156    0.44698E+04    0.99011E+00   -0.43976E+02    0.30111E+07    0.36092E+04
   157    0.45001E+04    0.98296E+00   -0.43846E+02    0.29931E+07    0.35755E+04
   158    0.45302E+04    0.97553E+00   -0.43691E+02    0.29752E+07    0.35421E+04
