#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   131    0.36555E+04   -0.39938E+02    0.20647E-05   -0.39938E+02    0.10347E+01   -0.63005E-08    0.20647E-05   -0.63005E-08    0.44219E-11
   132    0.36894E+04   -0.40332E+02    0.20278E-05   -0.40332E+02    0.10384E+01   -0.63554E-08    0.20278E-05   -0.63554E-08    0.43273E-11
   133    0.37231E+04   -0.40711E+02    0.19919E-05   -0.40711E+02    0.10416E+01   -0.63868E-08    0.19919E-05   -0.63868E-08    0.42351E-11
   134    0.37569E+04   -0.41072E+02    0.19568E-05   -0.41072E+02    0.10444E+01   -0.63964E-08    0.19568E-05   -0.63964E-08    0.41455E-11
   135    0.37906E+04   -0.41417E+02    0.19226E-05   -0.41417E+02    0.10467E+01   -0.63859E-08    0.19226E-05   -0.63859E-08    0.40582E-11
   136    0.38242E+04   -0.41743E+02    0.18893E-05   -0.41743E+02    0.10485E+01   -0.63571E-08    0.18893E-05   -0.63571E-08    0.39733E-11
   137    0.38578E+04   -0.42051E+02    0.18568E-05   -0.42051E+02    0.10498E+01   -0.63117E-08    0.18568E-05   -0.63117E-08    0.38906E-11
   138    0.38912E+04   -0.42341E+02    0.18251E-05   -0.42341E+02    0.10507E+01   -0.62515E-08    0.18251E-05   -0.62515E-08    0.38101E-11
   139    0.39245E+04   -0.42612E+02    0.17941E-05   -0.42612E+02    0.10512E+01   -0.61782E-08    0.17941E-05   -0.61782E-08    0.37318E-11
   140    0.39578E+04   -0.42865E+02    0.17639E-05   -0.42865E+02    0.10511E+01   -0.60935E-08    0.17639E-05   -0.60935E-08    0.36555E-11
   141    0.39909E+04   -0.43096E+02    0.17344E-05   -0.43096E+02    0.10505E+01   -0.59992E-08    0.17344E-05   -0.59992E-08    0.35813E-11
   142    0.40239E+04   -0.43308E+02    0.17056E-05   -0.43308E+02    0.10495E+01   -0.58971E-08    0.17056E-05   -0.58971E-08    0.35090E-11
   143    0.40569E+04   -0.43500E+02    0.16774E-05   -0.43500E+02    0.10481E+01   -0.57888E-08    0.16774E-05   -0.57888E-08    0.34386E-11
   144    0.40897E+04   -0.43671E+02    0.16499E-05   -0.43671E+02    0.10462E+01   -0.56762E-08    0.16499E-05   -0.56762E-08    0.33700E-11
   145    0.41223E+04   -0.43821E+02    0.16230E-05   -0.43821E+02    0.10439E+01   -0.55609E-08    0.16230E-05   -0.55609E-08    0.33032E-11
   146    0.41550E+04   -0.43950E+02    0.15967E-05   -0.43950E+02    0.10410E+01   -0.54448E-08    0.15967E-05   -0.54448E-08    0.32381E-11
   147    0.41873E+04   -0.44056E+02    0.15709E-05   -0.44056E+02    0.10378E+01   -0.53294E-08    0.15709E-05   -0.53294E-08    0.31746E-11
   148    0.42195E+04   -0.44141E+02    0.15456E-05   -0.44141E+02    0.10341E+01   -0.52167E-08    0.15456E-05   -0.52167E-08    0.31127E-11
   149    0.42516E+04   -0.44204E+02    0.15209E-05   -0.44204E+02    0.10300E+01   -0.51083E-08    0.15209E-05   -0.51083E-08    0.30523E-11
   150    0.42834E+04   -0.44241E+02    0.14966E-05   -0.44241E+02    0.10255E+01   -0.50060E-08    0.14966E-05   -0.50060E-08    0.29933E-11
   151    0.43150E+04   -0.44257E+02    0.14727E-05   -0.44257E+02    0.10206E+01   -0.49111E-08    0.14727E-05   -0.49111E-08    0.29357E-11
   152    0.43464E+04   -0.44250E+02    0.14493E-05   -0.44250E+02    0.10152E+01   -0.48235E-08    0.14493E-05   -0.48235E-08    0.28795E-11
   153    0.43776E+04   -0.44217E+02    0.14263E-05   -0.44217E+02    0.10095E+01   -0.47428E-08    0.14263E-05   -0.47428E-08    0.28246E-11
   154    0.44086E+04   -0.44160E+02    0.14037E-05   -0.44160E+02    0.10034E+01   -0.46685E-08    0.14037E-05   -0.46685E-08    0.27709E-11
   155    0.44394E+04   -0.44080E+02    0.13816E-05   -0.44080E+02    0.99691E+00   -0.46000E-08    0.13816E-05   -0.46000E-08    0.27186E-11
   156    0.44698E+04   -0.43976E+02    0.13598E-05   -0.43976E+02    0.99011E+00   -0.45370E-08    0.13598E-05   -0.45370E-08    0.26675E-11
   157    0.45001E+04   -0.43846E+02    0.13385E-05   -0.43846E+02    0.98296E+00   -0.44788E-08    0.13385E-05   -0.44788E-08    0.26176E-11
   158    0.45302E+04   -0.43691E+02    0.13176E-05   -0.43691E+02    0.97553E+00   -0.44251E-08    0.13176E-05   -0.44251E-08    0.25689E-11
   159    0.45599E+04   -0.43512E+02    0.12970E-05   -0.43512E+02    0.96767E+00   -0.43754E-08    0.12970E-05   -0.43754E-08    0.25213E-11
   160    0.45894E+04   -0.43306E+02    0.12769E-05   -0.43306E+02    0.95954E+00   -0.43291E-08    0.12769E-05   -0.43291E-08    0.24749E-11
   161    0.46187E+04   -0.43076E+02    0.12571E-05   -0.43076E+02    0.95120E+00   -0.42858E-08    0.12571E-05   -0.42858E-08    0.24295E-11
   162    0.46477E+04   -0.42821E+02    0.12377E-05   -0.42821E+02    0.94252E+00   -0.42450E-08    0.12377E-05   -0.42450E-08    0.23853E-11
   163    0.46765E+04   -0.42539E+02    0.12187E-05   -0.42539E+02    0.93355E+00   -0.42063E-08    0.12187E-05   -0.42063E-08    0.23421E-11
